id,name,email,password,phone_number,area_code,address,created_at,updated_at,rating,servicecategory_id,experience,approval_status,active,fs_uniquifier
1,System Admin,admin@hxpert.co,$2b$12$ZPOZteY0FPfClP8iIGGpMuiDb/WyDTseazvBvXCp0j6fmfUv/w3WG,9595959595,06611,100 Hyderabad Lane,2024-12-01 15:32:43.682307,,,,,1,1,ee747054cc264ec9a977a3022ecb6729
2,Pranathi Ayyadevara,apranathi@hxpert.co,$2b$12$ZJTLhyzgPnUPn8T64JtrsOzvH3dFkqipcFrEiyHsfNzgBSgf7kAtK,8585858585,06611,200 Delhi Road,2024-12-01 15:32:43.929794,,,1,5,1,1,d6739306f450479cbf3e82505dcfd11a
3,Taylor Swift,tswift@hxpert.co,$2b$12$nBxeLgsn9qGRqLRNglx4AeLr.L9XcpalKtef2Dc9RYjhHpqqhNYTm,7575757575,06611,300 Chennai Street,2024-12-01 15:32:44.169734,,,,,1,1,d313a0c672be45cc9b679739805ba25a
4,Aarav Patel,aarav.patel@hxpert.co,$2b$12$HRHAivpm3HfXtHApbV4kyuJH5BKYrAznnHXR.t3ftamuiFpDbzL2u,9830012345,500030,"12 Green Street, Hyderabad, Telangana",2024-12-01 15:35:13.849330,,,,,1,1,1252ec19b1be4741953711b79c9d88ab
5,Emily Johnson,emily.johnson@hxpert.co,$2b$12$Lu0rNhaHGES2tu4vrrt0ee6Sbvwfu05rWSBgmcnjZoUO/lkWQ9pRG,3105551234,90210,"123 Maple Street, Los Angeles, CA",2024-12-01 15:35:14.255451,,,,,1,1,1521cea052224990bd3a28ceaded165f
6,Rohan Gupta,rohan.gupta@hxpert.co,$2b$12$D8821R9sXN8mJdavgFqcDOyGNWfl0c8wouy02o6V5cQjYrwSjVcnq,9820094321,500029,"56 Red Road, Secunderabad, Telangana",2024-12-01 15:35:14.754346,,,,,1,1,54d00b56834a40e29f315356c9c2a7ef
7,Olivia Brown,olivia.brown@hxpert.co,$2b$12$7R2qCw6oj7BM5YdAJV0PoO/qLZVqZUHjYL2iNi9Kq5O4Rt3TfqxWy,2125555678,10001,"456 Oak Avenue, New York, NY",2024-12-01 15:35:15.199065,,,,,1,1,e508eb6a3a7048b587cd50d58ff4eb87
8,Meera Sharma,meera.sharma@hxpert.co,$2b$12$eCOtVLTixQWFWRez/YKgge4Mel4YC5sxDBqO6.OqwiI7vWOSYcZA2,9810087654,500031,"78 Yellow Lane, Begumpet, Telangana",2024-12-01 15:35:15.657054,,,,,1,1,bf06fd96c649482e95171b8b44a10b46
9,Michael Smith,michael.smith@hxpert.co,$2b$12$9.gMXX/HSMav2/tr8fQpv.2uLNtV3WQ9aNIy6LneL.H/p/qINXci6,4155558765,94110,"789 Pine Street, San Francisco, CA",2024-12-01 15:35:16.029650,,,,,1,1,ef02e146fc0543bd9daf77d403cfe15a
10,Karthik Nair,karthik.nair@hxpert.co,$2b$12$ApFmgd5pmJk4SOxrZOr5Q.u3wyR4FEWVRq3PcQ95HwBDHPzRSN6Ze,9870096543,500028,"90 Pink Path, Gachibowli, Telangana",2024-12-01 15:35:16.545459,,,,,1,1,9b64a83bb9024ac78e8314ebf6f3a860
11,Sophia Davis,sophia.davis@hxpert.co,$2b$12$pOqVF3zDidr1AF8JPIvoZeedHVebeDLuyQfwiQTwz4LXMvKYRdZV2,3125552345,60601,"234 Elm Road, Chicago, IL",2024-12-01 15:35:16.936046,,,,,1,1,8dbf51b4884b45cd8bd7d44ed3750c84
12,Vikram Singh,vikram.singh@hxpert.co,$2b$12$rthvndANZqPICCMoeU0v/uen8YZDMi.JwzcflMnrESuDFRuiqS06i,9890065432,500034,"45 Orange Street, Jubilee Hills, Telangana",2024-12-01 15:35:17.471666,,,,,1,1,adbb34ded7e4494ca8ba099b9b73bb42
13,Liam Martinez,liam.martinez@hxpert.co,$2b$12$D8s4GOdP9xdTyLleVumgG.VzOb/sBg555Yremy//mHAkL.xI/f8di,3055553456,33101,"567 Cedar Avenue, Miami, FL",2024-12-01 15:35:17.956105,,,,,1,1,0b6e062cb16943fc9a2afa01bdcac47e
14,Deepak Kumar,deepak.kumar@hxpert.co,$2b$12$gdcWIhKkVmC9qq4G5pOfoOSl14k00x.xIU.NKUQD7yhRkFmmrl/0m,9819098765,500038,"123 Broadway Lane, Hyderabad, Telangana",2024-12-01 15:35:18.519520,2024-12-01 15:46:00.552323,4.5,1,10,1,1,603f59f7d617439888df2f9e8bc03b1f
15,Susan Miller,susan.miller@hxpert.co,$2b$12$Lk9tsie5soHYjDEh20zFMOYwdlVPtqAztwCsd89/WWxdCvcSp1tiy,3105559876,90211,"456 Caretaker Avenue, Los Angeles, CA",2024-12-01 15:35:18.924229,2024-12-01 15:37:10.210266,,2,20,1,1,d4fc1296b34c4efd88c24f83b797b0a0
16,Anjali Singh,anjali.singh@hxpert.co,$2b$12$gX8ILjyElzeTtnUveMXvCuR6DuxgVy8aRcSwb8bIF4BAFyP41Z/vS,9821034567,500039,"789 Service Street, Secunderabad, Telangana",2024-12-01 15:35:19.410765,2024-12-01 15:37:12.631681,,3,30,1,1,28cb165c9d7f495f9f89dcbebdfbbba2
17,James Wilson,james.wilson@hxpert.co,$2b$12$I.FhLq7R7NdiSin0qnAn2.qkZfb514cc.iqggz36Cndd8Tr.hrJZS,2125554321,10002,"321 Housekeeper Road, New York, NY",2024-12-01 15:35:19.943633,2024-12-01 15:37:14.933538,,4,4,1,1,42edd33f80d84116a94542c84bb367a6
18,Priya Desai,priya.desai@hxpert.co,$2b$12$oc4HJd9JUFddjG/nJ8z7Uu3YBbo2KyY.rvyJBIV278/CF/v0DfX/m,9832045678,500040,"654 Domestic Drive, Begumpet, Telangana",2024-12-01 15:35:20.543346,2024-12-01 16:03:50.988251,2.3333333333333335,5,5,1,1,650aa1be96cb428893775d8cab5224fd
19,Mary Johnson,mary.johnson@hxpert.co,$2b$12$vcqBNoH3bd3TO72yfjmzgun17p4GR84A0xgJZwaAct3uy2WatQniW,7155558765,94111,"987 Cleaning Street, San Francisco, CA",2024-12-01 15:35:21.045998,2024-12-01 15:37:18.461337,,1,15,1,1,fa73956bc95946fe91d8285264838851
20,Rakesh Nair,rakesh.nair@hxpert.co,$2b$12$Bpm4L5Zjkeq0oKB/vZbml.fJHXgXl0wOV2XYkBkdiyzG0uMwDzvxG,9843056789,500041,"123 Homecare Avenue, Gachibowli, Telangana",2024-12-01 15:35:21.524575,2024-12-01 15:37:20.746658,,2,25,1,1,a84a8450a79b45f0b815132d1f52611d
21,Linda Davis,linda.davis@hxpert.co,$2b$12$ITROTLNTnwFJ.YZzOT5e6Ormxg8Pfdl0JVtq1fs7wTTI4Y0iEWddK,3125556543,60602,"234 Maintenance Lane, Chicago, IL",2024-12-01 15:35:22.077144,2024-12-01 15:37:22.865901,,3,35,1,1,f51536c3dad246f69d4718df696a098a
22,Amit Gupta,amit.gupta@hxpert.co,$2b$12$KL7nFETf9lOrYY/6K8GyLeQcRgBZB4D.rn0SfZlOQmBgsCYyK.lqy,9894067890,500042,"789 Caregiver Road, Jubilee Hills, Telangana",2024-12-01 15:35:22.502130,2024-12-01 15:58:13.511292,2.5,4,45,1,1,2297f5625abf48c5bb27c7bdd649c9dd
23,Nancy Martinez,nancy.martinez@hxpert.co,$2b$12$FHTwUkKr.cSYFGmSm107feq8lFzXcNeNJGC3Y7y3H.BV75HNg8ggC,3055557654,33102,"321 Service Path, Miami, FL",2024-12-01 15:35:23.102089,2024-12-01 15:37:26.971171,,5,15,1,1,472d450663964430a60a8cccffbb4bed
